Week,measles,measles vaccine,MMR vaccine,influenza
2010-11-07 - 2010-11-13,20,0,43,20
2010-11-14 - 2010-11-20,20,28,47,21
2010-11-21 - 2010-11-27,16,28,34,14
2010-11-28 - 2010-12-04,21,28,41,21
2010-12-05 - 2010-12-11,18,28,36,21
2010-12-12 - 2010-12-18,16,28,41,20
2010-12-19 - 2010-12-25,13,28,32,17
2010-12-26 - 2011-01-01,14,29,29,16
2011-01-02 - 2011-01-08,24,29,65,22
2011-01-09 - 2011-01-15,20,25,49,23
2011-01-16 - 2011-01-22,19,26,50,28
2011-01-23 - 2011-01-29,20,32,49,34
2011-01-30 - 2011-02-05,25,26,44,34
2011-02-06 - 2011-02-12,25,25,47,37
2011-02-13 - 2011-02-19,26,32,49,42
2011-02-20 - 2011-02-26,43,39,48,38
2011-02-27 - 2011-03-05,81,61,57,36
2011-03-06 - 2011-03-12,30,27,45,31
2011-03-13 - 2011-03-19,25,27,40,25
2011-03-20 - 2011-03-26,28,23,48,21
2011-03-27 - 2011-04-02,27,28,49,19
2011-04-03 - 2011-04-09,40,32,48,18
2011-04-10 - 2011-04-16,38,32,50,17
2011-04-17 - 2011-04-23,36,35,48,14
2011-04-24 - 2011-04-30,39,38,52,14
2011-05-01 - 2011-05-07,39,30,52,14
2011-05-08 - 2011-05-14,40,39,57,12
2011-05-15 - 2011-05-21,32,28,52,12
2011-05-22 - 2011-05-28,49,47,57,10
2011-05-29 - 2011-06-04,48,41,52,9
2011-06-05 - 2011-06-11,35,39,53,9
2011-06-12 - 2011-06-18,32,37,56,8
2011-06-19 - 2011-06-25,28,28,58,7
2011-06-26 - 2011-07-02,25,30,52,7
2011-07-03 - 2011-07-09,24,27,47,7
2011-07-10 - 2011-07-16,23,32,53,7
2011-07-17 - 2011-07-23,23,23,54,8
2011-07-24 - 2011-07-30,25,25,54,7
2011-07-31 - 2011-08-06,20,29,57,7
2011-08-07 - 2011-08-13,20,35,57,8
2011-08-14 - 2011-08-20,21,28,55,8
2011-08-21 - 2011-08-27,23,20,53,9
2011-08-28 - 2011-09-03,21,26,47,11
2011-09-04 - 2011-09-10,25,28,47,13
2011-09-11 - 2011-09-17,28,29,51,17
2011-09-18 - 2011-09-24,28,26,44,18
2011-09-25 - 2011-10-01,24,28,46,19
2011-10-02 - 2011-10-08,23,32,54,19
2011-10-09 - 2011-10-15,23,32,50,19
2011-10-16 - 2011-10-22,23,23,47,18
2011-10-23 - 2011-10-29,28,31,45,20
2011-10-30 - 2011-11-05,23,24,48,19
2011-11-06 - 2011-11-12,24,30,49,17
2011-11-13 - 2011-11-19,23,26,48,18
2011-11-20 - 2011-11-26,19,20,36,14
2011-11-27 - 2011-12-03,26,36,44,18
2011-12-04 - 2011-12-10,24,34,42,16
2011-12-11 - 2011-12-17,21,21,43,14
2011-12-18 - 2011-12-24,16,21,34,11
2011-12-25 - 2011-12-31,16,19,30,10
2012-01-01 - 2012-01-07,18,23,37,13
2012-01-08 - 2012-01-14,19,23,43,15
2012-01-15 - 2012-01-21,20,25,44,14
2012-01-22 - 2012-01-28,24,21,44,16
2012-01-29 - 2012-02-04,24,24,43,18
2012-02-05 - 2012-02-11,51,44,50,19
2012-02-12 - 2012-02-18,50,50,47,23
2012-02-19 - 2012-02-25,37,34,45,24
2012-02-26 - 2012-03-03,31,33,43,25
2012-03-04 - 2012-03-10,24,20,42,27
2012-03-11 - 2012-03-17,24,24,40,26
2012-03-18 - 2012-03-24,28,32,45,24
2012-03-25 - 2012-03-31,24,24,48,21
2012-04-01 - 2012-04-07,23,30,43,17
2012-04-08 - 2012-04-14,26,30,44,18
2012-04-15 - 2012-04-21,44,45,53,17
2012-04-22 - 2012-04-28,35,32,51,16
2012-04-29 - 2012-05-05,29,33,48,16
2012-05-06 - 2012-05-12,26,30,51,15
2012-05-13 - 2012-05-19,28,30,48,13
2012-05-20 - 2012-05-26,25,24,48,11
2012-05-27 - 2012-06-02,25,28,43,10
2012-06-03 - 2012-06-09,23,30,49,9
2012-06-10 - 2012-06-16,22,24,47,9
2012-06-17 - 2012-06-23,21,26,56,9
2012-06-24 - 2012-06-30,21,24,52,9
2012-07-01 - 2012-07-07,21,22,45,6
2012-07-08 - 2012-07-14,22,26,53,7
2012-07-15 - 2012-07-21,22,28,54,7
2012-07-22 - 2012-07-28,21,26,55,8
2012-07-29 - 2012-08-04,19,27,56,8
2012-08-05 - 2012-08-11,21,24,51,8
2012-08-12 - 2012-08-18,20,30,55,9
2012-08-19 - 2012-08-25,20,24,58,10
2012-08-26 - 2012-09-01,22,23,54,11
2012-09-02 - 2012-09-08,22,23,48,13
2012-09-09 - 2012-09-15,22,26,46,16
2012-09-16 - 2012-09-22,22,25,45,18
2012-09-23 - 2012-09-29,24,28,46,19
2012-09-30 - 2012-10-06,21,22,47,18
2012-10-07 - 2012-10-13,21,25,42,19
2012-10-14 - 2012-10-20,20,24,45,19
2012-10-21 - 2012-10-27,20,25,43,19
2012-10-28 - 2012-11-03,20,21,41,17
2012-11-04 - 2012-11-10,21,26,39,18
2012-11-11 - 2012-11-17,21,25,45,21
2012-11-18 - 2012-11-24,19,19,34,17
2012-11-25 - 2012-12-01,21,25,43,24
2012-12-02 - 2012-12-08,21,30,50,33
2012-12-09 - 2012-12-15,21,29,41,34
2012-12-16 - 2012-12-22,17,18,37,40
2012-12-23 - 2012-12-29,15,18,26,44
2012-12-30 - 2013-01-05,16,16,32,54
2013-01-06 - 2013-01-12,18,24,46,100
2013-01-13 - 2013-01-19,20,25,53,82
2013-01-20 - 2013-01-26,22,25,45,58
